3 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,1 bed,2 beds,4 beds,6 beds,5 beds
,El Cajon,Townhomes,CA,92020,"426 Claydelle Ave El Cajon, CA 92020",https://www.apartments.com/426-claydelle-ave-el-cajon-ca/wdmncxh/,1 bath,800 sq ft,800,,2000.0,,,
,San Diego,Townhomes,CA,92107,"2277 Caminito Pescado San Diego, CA 92107",https://www.apartments.com/2277-caminito-pescado-san-diego-ca/q95dpbx/,2.5 baths,"1,074 sq ft","1,074",,3295.0,,,
3200.0,San Diego,Townhomes,CA,92124,"5482 Rebolla Ln San Diego, CA 92124",https://www.apartments.com/5482-rebolla-ln-san-diego-ca/2vmsl4b/,2.5 baths,"1,600 sq ft","1,600",,,,,
,San Diego,Townhomes,CA,92130,"10637 Golden Willow Trail San Diego, CA 92130",https://www.apartments.com/10637-golden-willow-trail-san-diego-ca/flke5ft/,2.5 baths,"2,069 sq ft","2,069",,,6690.0,,
,Del Mar,Townhomes,CA,92014,"1060 America Way Del Mar, CA 92014",https://www.apartments.com/1060-america-way-del-mar-ca/l087czg/,2.5 baths,"1,700 sq ft","1,700",,5400.0,,,
,Solana Beach,Townhomes,CA,92075,"509 S Sierra Ave Solana Beach, CA 92075",https://www.apartments.com/509-s-sierra-ave-solana-beach-ca/20l6y5c/,2.5 baths,"1,608 sq ft","1,608",,6000.0,,,
,Solana Beach,Townhomes,CA,92075,"330 Shoemaker Ct Solana Beach, CA 92075",https://www.apartments.com/330-shoemaker-ct-solana-beach-ca/551clyn/,2.5 baths,"1,400 sq ft","1,400",,6950.0,,,
,Encinitas,Townhomes,CA,92007,"2060 Manchester Ave Encinitas, CA 92007",https://www.apartments.com/2060-manchester-ave-encinitas-ca/tw3jre9/,3.5 baths,"1,907 sq ft","1,907",,,5400.0,,
2600.0,San Diego,Townhomes,CA,92139,"6838 Bear River Row San Diego, CA 92139",https://www.apartments.com/6838-bear-river-row-san-diego-ca/8jbgg52/,2 baths,"1,183 sq ft","1,183",,,,,
3800.0,San Diego,Townhomes,CA,92130,"12918 Carmel Creek Rd San Diego, CA 92130",https://www.apartments.com/12918-carmel-creek-rd-san-diego-ca/dl38jxk/,3 baths,"1,600 sq ft","1,600",,,,,
2800.0,Chula Vista,Townhomes,CA,91914,"2292 Cabo Bahia Chula Vista, CA 91914",https://www.apartments.com/2292-cabo-bahia-chula-vista-ca/2wbglh9/,2 baths,"1,216 sq ft","1,216",,,,,
,San Diego,Townhomes,CA,92106,"1443 Locust St San Diego, CA 92106",https://www.apartments.com/1443-locust-st-san-diego-ca/6r983ps/,2.5 baths,"1,650 sq ft","1,650",,4300.0,,,
,San Diego,Townhomes,CA,92106,"1405 Locust St San Diego, CA 92106",https://www.apartments.com/1405-locust-st-san-diego-ca/lp0hw2f/,2.5 baths,"1,731 sq ft","1,731",,6500.0,,,
,San Diego,Townhomes,CA,92106,"2932 Upshur St San Diego, CA 92106",https://www.apartments.com/2932-upshur-st-san-diego-ca/x9c07dm/,4.5 baths,"3,600 sq ft","3,600",,,,9750.0,
,Imperial Beach,Townhomes,CA,91932,"503 Hummingbird Ln Imperial Beach, CA 91932",https://www.apartments.com/503-hummingbird-ln-imperial-beach-ca/31fqbcg/,2.5 baths,"1,172 sq ft","1,172",,3200.0,,,
6500.0,Laguna Beach,Townhomes,CA,92677,"31 Stoney Pt Laguna Beach, CA 92677",https://www.apartments.com/31-stoney-pt-laguna-beach-ca/zmfpjfy/,2.5 baths,"1,905 sq ft","1,905",,,,,
8000.0,San Diego,Townhomes,CA,92109,"1079 Sapphire St San Diego, CA 92109",https://www.apartments.com/1079-sapphire-st-san-diego-ca/pyn0bdt/,2 baths,"1,398 sq ft","1,398",,,,,
,Chula Vista,Townhomes,CA,91913,"1986 Caminito De La Cruz Chula Vista, CA 91913",https://www.apartments.com/1986-caminito-de-la-cruz-chula-vista-ca/zwxhlgy/,2.5 baths,"1,820 sq ft","1,820",,,3150.0,,
2895.0,San Diego,Townhomes,CA,92131,"11843 Spruce Run Dr San Diego, CA 92131",https://www.apartments.com/11843-spruce-run-dr-san-diego-ca/yk6cxst/,2.5 baths,"1,335 sq ft","1,335",,,,,
6200.0,San Diego,Townhomes,CA,92037,"520 Marine St San Diego, CA 92037",https://www.apartments.com/520-marine-st-san-diego-ca/f45sbtr/,2.5 baths,"2,000 sq ft","2,000",,,,,
4000.0,Richmond,Townhomes,CA,94804,"1506 Jetty Dr Richmond, CA 94804",https://www.apartments.com/1506-jetty-dr-richmond-ca/0042rc3/,2.5 baths,"1,300 sq ft","1,300",,,,,
4000.0,Westlake Village,Townhomes,CA,91362,"4599 Club View Dr Westlake Village, CA 91362",https://www.apartments.com/4599-club-view-dr-westlake-village-ca/w2qzjvl/,2.5 baths,"1,942 sq ft","1,942",,,,,
,Palm Desert,Townhomes,CA,92211,"307 Tava Ln Palm Desert, CA 92211",https://www.apartments.com/307-tava-ln-palm-desert-ca/n9y4txm/,2 baths,991 sq ft,991,,2200.0,,,
2300.0,Azusa,Townhomes,CA,91702,"362 Cherry Hills Ln Azusa, CA 91702",https://www.apartments.com/362-cherry-hills-ln-azusa-ca/xf3dxlp/,2 baths,"1,200 sq ft","1,200",,,,,
3800.0,San Diego,Townhomes,CA,92130,"13613 Tiverton Rd San Diego, CA 92130",https://www.apartments.com/13613-tiverton-rd-san-diego-ca/txdj6z9/,3 baths,"1,525 sq ft","1,525",,,,,
2950.0,Orange,Townhomes,CA,92865,"3060 Juneberry St Orange, CA 92865",https://www.apartments.com/3060-juneberry-st-orange-ca/ey3nltm/,3 baths,"1,505 sq ft","1,505",,,,,
3200.0,Fullerton,Townhomes,CA,92833,"1299 McFadden Dr Fullerton, CA 92833",https://www.apartments.com/1299-mcfadden-dr-fullerton-ca/3p0kevf/,3 baths,"1,524 sq ft","1,524",,,,,
,Newport Beach,Townhomes,CA,92661,"205 E Balboa Blvd Newport Beach, CA 92661",https://www.apartments.com/205-e-balboa-blvd-newport-beach-ca/0q7cm40/,1 bath,700 sq ft,700,,3000.0,,,
